scenario_id,case_id,link_id,target_tau_ns,target_rank,target_in_Wearly,target_is_first,bounce_count,parity,incidence_angle_deg,Pco_target,Pcross_target,xpd_target_raw_db,xpd_target_ex_db,C_target_db
A5,27,A5_27,26.370557161984873,2.0,0,0,2,even,45.0,6.166040512932765e-08,1.4401131267798165e-08,6.316097648145607,-18.73635211802917,-228.81165093650566
A5,28,A5_28,26.370557161984873,2.0,0,0,2,even,45.0,6.22964256160372e-08,1.3765110781088605e-08,6.556834179170295,-18.495615587004483,-228.81165093650566
A5,29,A5_29,26.370557161984873,2.0,0,0,2,even,45.0,5.924948269299365e-08,1.6812053704132155e-08,5.470637942368772,-19.581811823806007,-228.81165093650566
A5,30,A5_30,24.160978418103074,2.0,1,0,2,even,14.181769186520743,9.246175810279514e-08,9.605538081629555e-08,-0.165595511041105,-25.218045277215882,0.3465625631401645
A5,31,A5_31,26.370557161984873,2.0,0,0,2,even,45.0,3.05259211973843e-08,4.5535615199741504e-08,-1.7368242964318379,-26.789274062606616,-228.81165093650566
A5,32,A5_32,26.370557161984873,2.0,0,0,2,even,45.0,3.4827994705384796e-08,4.123354169174101e-08,-0.7332216969583021,-25.78567146313308,-228.81165093650566
A5,33,A5_33,26.370557161984873,2.0,0,0,2,even,45.0,3.1556012844714835e-08,4.4505523552410965e-08,-1.4933179017400682,-26.545767667914845,-228.81165093650566
A5,34,A5_34,24.263339143683368,2.0,1,0,2,even,28.16831682046073,1.0396709740413935e-07,8.389697301167105e-08,0.9314962748941933,-24.120953491280584,0.3780159672703548
A5,35,A5_35,26.370557161984873,2.0,0,0,2,even,45.0,2.740010859566832e-08,4.866142780145749e-08,-2.494325635766081,-27.54677540194086,-228.81165093650566
A5,36,A5_36,26.370557161984873,2.0,0,0,2,even,45.0,2.517495868649999e-08,5.088657771062582e-08,-3.0563447760106346,-28.108794542185414,-228.81165093650566
A5,37,A5_37,26.370557161984873,2.0,0,0,2,even,45.0,2.9588602772966676e-08,4.6472933624159134e-08,-1.9607563089397504,-27.013206075114528,-228.81165093650566
A5,38,A5_38,26.370557161984873,2.0,0,0,2,even,45.0,3.005434456571252e-08,4.6007191831413283e-08,-1.8491846459900276,-26.901634412164807,-228.81165093650566
A5,39,A5_39,26.370557161984873,2.0,0,0,2,even,45.0,2.818089897278049e-08,4.788063742434532e-08,-2.3020508041862464,-27.354500570361026,-228.81165093650566
A5,40,A5_40,26.370557161984873,2.0,0,0,2,even,45.0,2.530776938706619e-08,5.075376701005961e-08,-3.022144133109287,-28.074593899284064,-228.81165093650566
A5,41,A5_41,26.370557161984873,3.0,0,0,2,even,45.0,3.3825657257131947e-08,4.223587913999386e-08,-0.9643529444471061,-26.016802710621885,-228.81165093650566
A5,42,A5_42,26.370557161984873,2.0,0,0,2,even,45.0,3.519567304738388e-08,4.0865863349741925e-08,-0.6487140380450616,-25.70116380421984,-228.81165093650566
A5,44,A5_44,17.362849088424447,1.0,1,1,2,even,22.25293552935073,6.55898228506987e-08,1.0960427017385499e-07,-2.229910166246933,-27.282359932421713,-232.43519459080414
A5,45,A5_45,26.370557161984873,2.0,0,0,2,even,45.0,3.025974627025809e-08,4.5801790126867716e-08,-1.800171702753067,-26.852621468927843,-228.81165093650566
A5,46,A5_46,26.370557161984873,2.0,0,0,2,even,45.0,2.9962272807595154e-08,4.609926358953065e-08,-1.871192338627724,-26.923642104802504,-228.81165093650566
A5,47,A5_47,24.279048857829686,1.0,1,1,2,even,39.714496269478175,3.2447625720524186e-08,5.7282930775073814e-08,-2.4684230592986687,-27.520872825473447,-229.52940361189275
A5,48,A5_48,26.370557161984873,2.0,0,0,2,even,45.0,3.111250441467497e-08,4.494903198245084e-08,-1.5978537201001073,-26.650303486274886,-228.81165093650566
A5,50,A5_50,26.370557161984873,2.0,0,0,2,even,45.0,2.5944141314722823e-08,5.0117395082402986e-08,-2.859491886582748,-27.911941652757527,-228.81165093650566
A5,52,A5_52,26.370557161984873,2.0,0,0,2,even,45.0,2.7093585543010973e-08,4.8967950854114834e-08,-2.5704544760474173,-27.622904242222194,-228.81165093650566
A5,53,A5_53,26.370557161984873,2.0,0,0,2,even,45.0,2.237831108149336e-08,5.368322531563244e-08,-3.800112938859673,-28.85256270503445,-228.81165093650566
A5,54,A5_54,26.370557161984873,2.0,0,0,2,even,45.0,2.7517323796173067e-08,4.854421260095273e-08,-2.465312669127603,-27.51776243530238,-228.81165093650566
A5,55,A5_55,23.404572433586825,2.0,1,0,2,even,49.772714681637694,9.665796799655674e-08,9.789942507818346e-08,-0.055424804910034556,-25.107874571084814,0.065963061504941
A5,56,A5_56,17.45290098388786,1.0,1,1,2,even,22.7236645561267,6.856627168246854e-08,1.0469872273706519e-07,-1.838308483964832,-26.89075825013961,-232.38710828922396
A5,57,A5_57,26.370557161984873,2.0,0,0,2,even,45.0,3.426361782707066e-08,4.1797918570055154e-08,-0.8632143821504662,-25.915664148325245,-228.81165093650566
A5,58,A5_58,26.370557161984873,1.0,1,1,2,even,45.0,3.187189902335049e-08,4.418963737377532e-08,-1.4191249688417886,-26.471574735016567,-228.81165093650566
A5,59,A5_59,26.370557161984873,2.0,0,0,2,even,45.0,3.3377534308030354e-08,4.268400208909545e-08,-1.068108815111177,-26.120558581285955,-228.81165093650566
