case_id,room_type,is_nlos,gamma_cp_3_fp_only,ar_db_at_los,xpd_db_at_los
269,A,1,1.29931445406846,32.9969962935287,-0.389105265821356
270,A,1,0.618697320278335,14.7780906391473,3.20500389306444
271,A,1,0.714985682789209,3.43230140535571,14.1971845373147
272,A,1,0.695224298691197,1.61747568309504,20.645180557398
273,C,1,1.57385329924445,15.0656867807262,3.09835488915121
274,B,0,1.03804103565338,11.8982788488851,4.51391568291158
275,A,1,0.423572611788248,8.43006061021218,6.92693580786123
276,B,1,12.1695694872743,20.1651192919797,1.70996738932615
277,A,1,1.73630083322672,21.2124021915617,1.51468673137611
278,B,0,0.340170134708433,5.06236045991248,10.9509390026185
279,B,1,0.293282183902875,25.4508839628697,0.928353241663501
280,A,1,0.360851616078692,1.20943470592641,23.1592552700281
281,A,0,1.7026652702705,16.5174680927569,2.61354745991255
282,B,1,0.589334576703656,4.09017112693302,-12.7205167217077
283,B,1,0.560712405273162,7.15202293305771,8.18053042137397
284,C,1,1.35528769079397,24.5619293077331,-1.02862003472481
285,A,1,0.984540815809624,1.77095147998902,19.8627697398088
286,C,1,0.657514910892858,12.639559360896,4.12992440497024
287,C,1,4.54978643362412,6.15392763808977,9.36689747075229
288,B,1,0.667749802159384,12.651706406304,4.12393336431471
289,A,1,1.42486511193956,12.8845795643302,-4.01086255298202
