stage,cp_feature,cir_feature,pearson,spearman,abs_pearson,abs_spearman
stage1,s3_all,rise_time_fp,-0.4332939713464243,-0.5299978660311858,0.4332939713464243,0.5299978660311858
stage1,xpr_all_db,rise_time_fp,-0.428407662654279,-0.5299978660311858,0.428407662654279,0.5299978660311858
stage1,delta_p_l_given_r_db,rise_time_fp,-0.4382219283351904,-0.5274222905590872,0.4382219283351904,0.5274222905590872
stage1,delta_tau_l_given_r_s,skewness_total,0.28491999261684425,0.5265787768339985,0.28491999261684425,0.5265787768339985
stage1,gamma_anchor_linear,k_factor_estimate,-0.11022591048293266,-0.5247155894128432,0.11022591048293266,0.5247155894128432
stage1,xpr_fp_db,fp_to_total_ratio,0.5325206779272277,0.5247155894128432,0.5325206779272277,0.5247155894128432
stage1,xpr_fp_db,k_factor_estimate,0.5286411046981625,0.5247155894128432,0.5286411046981625,0.5247155894128432
stage1,gamma_anchor_linear,fp_to_total_ratio,-0.11849359728363003,-0.5247155894128432,0.11849359728363003,0.5247155894128432
stage1,s3_fp,k_factor_estimate,0.5066848106041159,0.5247148080794232,0.5066848106041159,0.5247148080794232
stage1,s3_fp,fp_to_total_ratio,0.5084663784517415,0.5247148080794232,0.5084663784517415,0.5247148080794232
stage1,gamma_delay_linear,skewness_total,-0.34739957757947926,-0.522816358535151,0.34739957757947926,0.522816358535151
stage1,s3_late,rise_time_fp,-0.4269622084347479,-0.520007266518715,0.4269622084347479,0.520007266518715
stage1,xpr_late_db,rise_time_fp,-0.41545501545962976,-0.520007266518715,0.41545501545962976,0.520007266518715
stage1,gamma_delay_linear,kurtosis_total,-0.3016718739816462,-0.5131193619021513,0.3016718739816462,0.5131193619021513
stage1,delta_tau_l_given_r_s,peak_to_avg_ratio,0.3196003648644457,0.5078637939556079,0.3196003648644457,0.5078637939556079
stage1,delta_tau_l_given_r_s,kurtosis_total,0.3292581409957039,0.5022593859282702,0.3292581409957039,0.5022593859282702
stage1,cp_phase_slope_delay_s,skewness_total,0.3083932319529037,0.5014324868258319,0.3083932319529037,0.5014324868258319
stage1,delta_f_l_minus_r_fp,kurtosis_total,-0.5396659177708555,-0.5000622355624706,0.5396659177708555,0.5000622355624706
stage1,delta_p_l_given_r_db,skewness_total,0.4850280879905617,0.4968681974297997,0.4850280879905617,0.4968681974297997
stage1,cp_phase_slope_delay_s,peak_to_avg_ratio,0.3283335650206394,0.4927014685223854,0.3283335650206394,0.4927014685223854
stage1,delta_p_l_given_r_db,kurtosis_total,0.49794908262691373,0.4918919550991061,0.49794908262691373,0.4918919550991061
stage1,delta_f_l_minus_r_fp,skewness_total,-0.5304247604229138,-0.48971398863488763,0.5304247604229138,0.48971398863488763
stage1,cp_phase_slope_delay_s,kurtosis_total,0.3358724795970947,0.4865741740637971,0.3358724795970947,0.4865741740637971
stage1,xpr_all_db,skewness_total,0.44877935137905,0.48066585296287256,0.44877935137905,0.48066585296287256
stage1,s3_all,skewness_total,0.4781476907906375,0.48066585296287256,0.4781476907906375,0.48066585296287256
stage1,delta_f_l_minus_r_fp,max_excess_delay,0.3089291307887565,0.477822291137634,0.3089291307887565,0.477822291137634
