stage,feature_a,feature_b,pair_type,pearson,spearman,abs_pearson,abs_spearman
stage1,delta_tau_l_given_r_s,cp_phase_slope_delay_s,cp_cp,0.5334111417086469,0.6029534970952155,0.5334111417086469,0.6029534970952155
stage1,rms_delay_spread,delta_p_l_given_r_db,cp_cir,-0.5854432865298657,-0.6019669482185498,0.5854432865298657,0.6019669482185498
stage1,skewness_total,xpr_fp_db,cp_cir,0.4972477040940032,0.6007755116417235,0.4972477040940032,0.6007755116417235
stage1,skewness_total,gamma_anchor_linear,cp_cir,-0.1443670850981758,-0.6007755116417235,0.1443670850981758,0.6007755116417235
stage1,skewness_total,s3_fp,cp_cir,0.4734672043247455,0.6007752631972515,0.4734672043247455,0.6007752631972515
stage1,kurtosis_total,xpr_fp_db,cp_cir,0.532770020377763,0.5826287971809775,0.532770020377763,0.5826287971809775
stage1,kurtosis_total,gamma_anchor_linear,cp_cir,-0.13670013193164862,-0.5826287971809775,0.13670013193164862,0.5826287971809775
stage1,kurtosis_total,s3_fp,cp_cir,0.5157046177756903,0.5826284816253868,0.5157046177756903,0.5826284816253868
stage1,kurtosis_total,num_significant_peaks,cir_cir,-0.745888827165007,-0.579235623267775,0.745888827165007,0.579235623267775
stage1,rise_time_fp,energy_concentration_50ns,cir_cir,-0.6031539981951506,-0.579149126205173,0.6031539981951506,0.579149126205173
stage1,mean_excess_delay,kurtosis_total,cir_cir,-0.7630121294835015,-0.5791384043487116,0.7630121294835015,0.5791384043487116
stage1,rms_delay_spread,rise_time_fp,cir_cir,0.7174711662474241,0.579023879856198,0.7174711662474241,0.579023879856198
stage1,mean_excess_delay,rise_time_fp,cir_cir,0.6041415608159877,0.5766955955192133,0.6041415608159877,0.5766955955192133
stage1,peak_to_avg_ratio,delta_p_l_given_r_db,cp_cir,0.5628459354840636,0.5764543613838179,0.5628459354840636,0.5764543613838179
stage1,rise_time_fp,gamma_anchor_linear,cp_cir,0.09126331115765307,0.5755092386785576,0.09126331115765307,0.5755092386785576
stage1,rise_time_fp,s3_fp,cp_cir,-0.4448976410541605,-0.5755092386785576,0.4448976410541605,0.5755092386785576
stage1,rise_time_fp,xpr_fp_db,cp_cir,-0.46193825496934826,-0.5755092386785576,0.46193825496934826,0.5755092386785576
stage1,xpr_fp_db,cp_phase_slope_delay_s,cp_cp,0.4687143745512379,0.5656127717347524,0.4687143745512379,0.5656127717347524
stage1,gamma_anchor_linear,cp_phase_slope_delay_s,cp_cp,-0.05464680347699142,-0.5656127717347524,0.05464680347699142,0.5656127717347524
stage1,s3_fp,cp_phase_slope_delay_s,cp_cp,0.43927928353076445,0.5656121730680193,0.43927928353076445,0.5656121730680193
stage1,peak_to_avg_ratio,s3_all,cp_cir,0.5571211138838533,0.5638814239868248,0.5571211138838533,0.5638814239868248
stage1,peak_to_avg_ratio,xpr_all_db,cp_cir,0.533780933655285,0.5638814239868248,0.533780933655285,0.5638814239868248
stage1,rise_time_fp,peak_to_avg_ratio,cir_cir,-0.6103010763463554,-0.5583490245520544,0.6103010763463554,0.5583490245520544
stage1,peak_to_avg_ratio,xpr_late_db,cp_cir,0.5240718488657857,0.5562596075844009,0.5240718488657857,0.5562596075844009
stage1,peak_to_avg_ratio,s3_late,cp_cir,0.5526892058884001,0.5562596075844009,0.5526892058884001,0.5562596075844009
stage1,mean_excess_delay,fp_to_total_ratio,cir_cir,-0.6650745851936051,-0.547148992349888,0.6650745851936051,0.547148992349888
stage1,mean_excess_delay,k_factor_estimate,cir_cir,-0.6229399600015757,-0.547148992349888,0.6229399600015757,0.547148992349888
stage1,mean_excess_delay,f_r_fp,cp_cir,-0.665074585197531,-0.547148992349888,0.665074585197531,0.547148992349888
stage1,f_r_fp,gamma_delay_linear,cp_cp,-0.2437375198060126,-0.5420706562300729,0.2437375198060126,0.5420706562300729
stage1,fp_to_total_ratio,gamma_delay_linear,cp_cir,-0.24373751980109218,-0.5420706562300729,0.24373751980109218,0.5420706562300729
stage1,k_factor_estimate,gamma_delay_linear,cp_cir,-0.22333958408313523,-0.5420706562300729,0.22333958408313523,0.5420706562300729
stage1,num_significant_peaks,peak_to_avg_ratio,cir_cir,-0.7953604925831531,-0.5369984992035922,0.7953604925831531,0.5369984992035922
stage1,rise_time_fp,gamma_delay_linear,cp_cir,0.06521456057298258,0.5356364048965925,0.06521456057298258,0.5356364048965925
stage1,peak_to_avg_ratio,lambda_l_late_fraction,cp_cir,-0.548008684115722,-0.5328519747613305,0.548008684115722,0.5328519747613305
stage1,fp_to_total_ratio,delta_p_l_given_r_db,cp_cir,0.5339276699814284,0.532569055618784,0.5339276699814284,0.532569055618784
stage1,delta_p_l_given_r_db,f_r_fp,cp_cp,0.5339276699239074,0.532569055618784,0.5339276699239074,0.532569055618784
stage1,k_factor_estimate,delta_p_l_given_r_db,cp_cir,0.5257043728047086,0.532569055618784,0.5257043728047086,0.532569055618784
stage1,peak_to_avg_ratio,delta_f_l_minus_r_fp,cp_cir,-0.5844901444124015,-0.5300704984522776,0.5844901444124015,0.5300704984522776
stage1,rise_time_fp,s3_all,cp_cir,-0.4332939713464243,-0.5299978660311858,0.4332939713464243,0.5299978660311858
stage1,rise_time_fp,xpr_all_db,cp_cir,-0.428407662654279,-0.5299978660311858,0.428407662654279,0.5299978660311858
stage1,rise_time_fp,delta_p_l_given_r_db,cp_cir,-0.4382219283351904,-0.5274222905590872,0.4382219283351904,0.5274222905590872
stage1,skewness_total,delta_tau_l_given_r_s,cp_cir,0.28491999261684425,0.5265787768339985,0.28491999261684425,0.5265787768339985
stage1,k_factor_estimate,xpr_fp_db,cp_cir,0.5286411046981625,0.5247155894128432,0.5286411046981625,0.5247155894128432
stage1,fp_to_total_ratio,xpr_fp_db,cp_cir,0.5325206779272277,0.5247155894128432,0.5325206779272277,0.5247155894128432
stage1,f_r_fp,gamma_anchor_linear,cp_cp,-0.11849359728519064,-0.5247155894128432,0.11849359728519064,0.5247155894128432
stage1,k_factor_estimate,gamma_anchor_linear,cp_cir,-0.11022591048293266,-0.5247155894128432,0.11022591048293266,0.5247155894128432
stage1,fp_to_total_ratio,gamma_anchor_linear,cp_cir,-0.11849359728363003,-0.5247155894128432,0.11849359728363003,0.5247155894128432
stage1,xpr_fp_db,f_r_fp,cp_cp,0.5325206778559924,0.5247155894128432,0.5325206778559924,0.5247155894128432
stage1,fp_to_total_ratio,s3_fp,cp_cir,0.5084663784517415,0.5247148080794232,0.5084663784517415,0.5247148080794232
stage1,s3_fp,f_r_fp,cp_cp,0.5084663783728248,0.5247148080794232,0.5084663783728248,0.5247148080794232
stage1,k_factor_estimate,s3_fp,cp_cir,0.5066848106041159,0.5247148080794232,0.5066848106041159,0.5247148080794232
stage1,skewness_total,gamma_delay_linear,cp_cir,-0.34739957757947926,-0.522816358535151,0.34739957757947926,0.522816358535151
stage1,f_l_fp,cp_phase_residual_circvar,cp_cp,-0.6343779115508072,-0.5215704095078233,0.6343779115508072,0.5215704095078233
stage1,rise_time_fp,s3_late,cp_cir,-0.4269622084347479,-0.520007266518715,0.4269622084347479,0.520007266518715
stage1,rise_time_fp,xpr_late_db,cp_cir,-0.41545501545962976,-0.520007266518715,0.41545501545962976,0.520007266518715
stage1,s3_late,f_l_fp,cp_cp,-0.5559844712951653,-0.5175066499451834,0.5559844712951653,0.5175066499451834
stage1,xpr_late_db,f_l_fp,cp_cp,-0.5838373466791129,-0.5175066499451834,0.5838373466791129,0.5175066499451834
stage1,s3_all,f_l_fp,cp_cp,-0.5512422416762217,-0.5149562803284756,0.5512422416762217,0.5149562803284756
stage1,xpr_all_db,f_l_fp,cp_cp,-0.5815491094302064,-0.5149562803284756,0.5815491094302064,0.5149562803284756
stage1,mean_excess_delay,num_significant_peaks,cir_cir,0.9379994850603741,0.5140786650514335,0.9379994850603741,0.5140786650514335
stage1,kurtosis_total,gamma_delay_linear,cp_cir,-0.3016718739816462,-0.5131193619021513,0.3016718739816462,0.5131193619021513
stage1,peak_to_avg_ratio,delta_tau_l_given_r_s,cp_cir,0.3196003648644457,0.5078637939556079,0.3196003648644457,0.5078637939556079
stage1,f_l_fp,gamma_delay_linear,cp_cp,0.05082296404822189,0.5061381944597994,0.05082296404822189,0.5061381944597994
stage1,skewness_total,energy_concentration_50ns,cir_cir,0.8537091784670818,0.5041496093499566,0.8537091784670818,0.5041496093499566
stage1,rms_delay_spread,skewness_total,cir_cir,-0.691561843149549,-0.5041044835671649,0.691561843149549,0.5041044835671649
stage1,kurtosis_total,delta_tau_l_given_r_s,cp_cir,0.3292581409957039,0.5022593859282702,0.3292581409957039,0.5022593859282702
stage1,f_l_fp,lambda_l_late_fraction,cp_cp,0.5484221742596308,0.5015172806130311,0.5484221742596308,0.5015172806130311
stage1,skewness_total,cp_phase_slope_delay_s,cp_cir,0.3083932319529037,0.5014324868258319,0.3083932319529037,0.5014324868258319
stage1,kurtosis_total,delta_f_l_minus_r_fp,cp_cir,-0.5396659177708555,-0.5000622355624706,0.5396659177708555,0.5000622355624706
stage1,skewness_total,delta_p_l_given_r_db,cp_cir,0.4850280879905617,0.4968681974297997,0.4850280879905617,0.4968681974297997
stage1,rise_time_fp,skewness_total,cir_cir,-0.5085603451922728,-0.49653791568625016,0.5085603451922728,0.49653791568625016
stage1,peak_to_avg_ratio,cp_phase_slope_delay_s,cp_cir,0.3283335650206394,0.4927014685223854,0.3283335650206394,0.4927014685223854
stage1,kurtosis_total,delta_p_l_given_r_db,cp_cir,0.49794908262691373,0.4918919550991061,0.49794908262691373,0.4918919550991061
stage1,skewness_total,delta_f_l_minus_r_fp,cp_cir,-0.5304247604229138,-0.48971398863488763,0.5304247604229138,0.48971398863488763
stage1,kurtosis_total,cp_phase_slope_delay_s,cp_cir,0.3358724795970947,0.4865741740637971,0.3358724795970947,0.4865741740637971
stage1,skewness_total,s3_all,cp_cir,0.4781476907906375,0.48066585296287256,0.4781476907906375,0.48066585296287256
stage1,skewness_total,xpr_all_db,cp_cir,0.44877935137905,0.48066585296287256,0.44877935137905,0.48066585296287256
stage1,max_excess_delay,delta_f_l_minus_r_fp,cp_cir,0.3089291307887565,0.477822291137634,0.3089291307887565,0.477822291137634
stage1,rise_time_fp,kurtosis_total,cir_cir,-0.504961918699961,-0.47649569894420896,0.504961918699961,0.47649569894420896
stage1,k_factor_estimate,lambda_l_late_fraction,cp_cir,-0.5005979478722046,-0.4733105085900565,0.5005979478722046,0.4733105085900565
stage1,f_r_fp,lambda_l_late_fraction,cp_cp,-0.5037525937094557,-0.4733105085900565,0.5037525937094557,0.4733105085900565
stage1,fp_to_total_ratio,lambda_l_late_fraction,cp_cir,-0.503752593783911,-0.4733105085900565,0.503752593783911,0.4733105085900565
stage1,skewness_total,s3_late,cp_cir,0.4737174369210527,0.4726646569627397,0.4737174369210527,0.4726646569627397
stage1,skewness_total,xpr_late_db,cp_cir,0.43941414176692495,0.4726646569627397,0.43941414176692495,0.4726646569627397
stage1,mean_excess_delay,cp_phase_residual_circvar,cp_cir,0.36619327722611755,0.470829602092178,0.36619327722611755,0.470829602092178
