x_var,y_var,x_index,y_index,x_label,y_label,n,auc_cir,auc_joint,delta_auc
los_angle_from_anchor_bore_deg,snr_db,3,4,"[38.57, 45.77]","[28.00, 34.00]",136,0.863095238095238,0.941468253968254,0.0783730158730157
los_angle_from_anchor_bore_deg,snr_db,4,4,"[45.77, 53.49]","[28.00, 34.00]",114,0.820774797786292,0.91017454235845,0.0893997445721584
los_angle_from_anchor_bore_deg,snr_db,5,4,"[53.49, 77.65]","[28.00, 34.00]",139,0.761813186813187,0.898901098901099,0.137087912087912
los_angle_from_anchor_bore_deg,snr_db,1,5,"[1.27, 29.65]","[34.00, 39.99]",122,0.772199730094467,0.812955465587045,0.0407557354925776
los_angle_from_anchor_bore_deg,snr_db,2,5,"[29.65, 38.57]","[34.00, 39.99]",148,0.744700250740825,0.789833599270572,0.0451333485297469
los_angle_from_anchor_bore_deg,snr_db,3,5,"[38.57, 45.77]","[34.00, 39.99]",117,0.838282504012841,0.889646869983949,0.0513643659711075
los_angle_from_anchor_bore_deg,snr_db,4,5,"[45.77, 53.49]","[34.00, 39.99]",115,0.793103448275862,0.886288998357964,0.0931855500821018
los_angle_from_anchor_bore_deg,snr_db,5,5,"[53.49, 77.65]","[34.00, 39.99]",98,0.803287671232877,0.892602739726027,0.0893150684931506
los_angle_from_anchor_bore_deg,slab_placement,1,1,"[1.27, 29.65]","wall_y",143,0.780898876404494,0.780274656679151,-0.000624219725343433
los_angle_from_anchor_bore_deg,slab_placement,2,1,"[29.65, 38.57]","wall_y",156,0.694784504444072,0.766225054502767,0.0714405500586952
los_angle_from_anchor_bore_deg,slab_placement,3,1,"[38.57, 45.77]","wall_y",150,0.740740740740741,0.799189814814815,0.0584490740740741
los_angle_from_anchor_bore_deg,slab_placement,4,1,"[45.77, 53.49]","wall_y",155,0.736619175972276,0.831536388140162,0.0949172121678861
los_angle_from_anchor_bore_deg,slab_placement,5,1,"[53.49, 77.65]","wall_y",146,0.756862745098039,0.837977296181631,0.0811145510835913
los_angle_from_anchor_bore_deg,slab_placement,1,2,"[1.27, 29.65]","ceiling",150,0.826731262467939,0.924764890282132,0.0980336278141922
los_angle_from_anchor_bore_deg,slab_placement,2,2,"[29.65, 38.57]","ceiling",148,0.818376068376068,0.858119658119658,0.0397435897435897
los_angle_from_anchor_bore_deg,slab_placement,3,2,"[38.57, 45.77]","ceiling",153,0.906530089628681,1,0.0934699103713189
los_angle_from_anchor_bore_deg,slab_placement,4,2,"[45.77, 53.49]","ceiling",141,0.908653846153846,0.972956730769231,0.0643028846153847
los_angle_from_anchor_bore_deg,slab_placement,5,2,"[53.49, 77.65]","ceiling",158,0.854166666666667,0.932017543859649,0.0778508771929824
los_angle_from_anchor_bore_deg,slab_placement,1,3,"[1.27, 29.65]","wall_x",163,0.790110226576852,0.841396203306797,0.0512859767299448
los_angle_from_anchor_bore_deg,slab_placement,2,3,"[29.65, 38.57]","wall_x",140,0.639661925376211,0.716553287981859,0.0768913626056483
los_angle_from_anchor_bore_deg,slab_placement,3,3,"[38.57, 45.77]","wall_x",152,0.774115578993628,0.939573720061525,0.165458141067897
los_angle_from_anchor_bore_deg,slab_placement,4,3,"[45.77, 53.49]","wall_x",149,0.704868913857678,0.776591760299626,0.0717228464419476
los_angle_from_anchor_bore_deg,slab_placement,5,3,"[53.49, 77.65]","wall_x",146,0.687891849529781,0.796042319749216,0.108150470219436
los_angle_from_anchor_bore_deg,slab_placement,1,4,"[1.27, 29.65]","floor",144,0.800798580301686,0.879769299023957,0.0789707187222715
los_angle_from_anchor_bore_deg,slab_placement,2,4,"[29.65, 38.57]","floor",156,0.750709677419355,0.819354838709677,0.0686451612903225
los_angle_from_anchor_bore_deg,slab_placement,3,4,"[38.57, 45.77]","floor",145,0.833333333333333,0.882783882783883,0.0494505494505494
los_angle_from_anchor_bore_deg,slab_placement,4,4,"[45.77, 53.49]","floor",155,0.850676378772112,0.940166493236212,0.0894901144641
los_angle_from_anchor_bore_deg,slab_placement,5,4,"[53.49, 77.65]","floor",150,0.815257552705934,0.89024125190176,0.0749836991958267
eps_r,xpol_coupling_db,1,1,"[2.00, 3.60]","[20.01, 24.00]",120,0.772743747734687,0.869155491119971,0.0964117433852845
eps_r,xpol_coupling_db,2,1,"[3.60, 5.20]","[20.01, 24.00]",123,0.690448791714614,0.751150747986191,0.0607019562715765
eps_r,xpol_coupling_db,3,1,"[5.20, 6.80]","[20.01, 24.00]",120,0.877540385617509,0.910891089108911,0.0333507034914018
eps_r,xpol_coupling_db,4,1,"[6.80, 8.40]","[20.01, 24.00]",123,0.861074705111402,0.920052424639581,0.0589777195281782
eps_r,xpol_coupling_db,5,1,"[8.40, 10.00]","[20.01, 24.00]",114,0.887857142857143,0.907857142857143,0.0200000000000001
eps_r,xpol_coupling_db,1,2,"[2.00, 3.60]","[24.00, 28.00]",115,0.747740963855422,0.823042168674699,0.0753012048192772
eps_r,xpol_coupling_db,2,2,"[3.60, 5.20]","[24.00, 28.00]",100,0.77005577005577,0.788073788073788,0.0180180180180181
eps_r,xpol_coupling_db,3,2,"[5.20, 6.80]","[24.00, 28.00]",119,0.747735507246377,0.890851449275362,0.143115942028985
eps_r,xpol_coupling_db,4,2,"[6.80, 8.40]","[24.00, 28.00]",132,0.871065375302663,0.956416464891041,0.0853510895883778
eps_r,xpol_coupling_db,5,2,"[8.40, 10.00]","[24.00, 28.00]",134,0.9609375,0.571614583333333,-0.389322916666667
eps_r,xpol_coupling_db,1,3,"[2.00, 3.60]","[28.00, 32.00]",132,0.714130434782609,0.830163043478261,0.116032608695652
eps_r,xpol_coupling_db,2,3,"[3.60, 5.20]","[28.00, 32.00]",114,0.671566989642499,0.759772803207484,0.0882058135649849
eps_r,xpol_coupling_db,3,3,"[5.20, 6.80]","[28.00, 32.00]",119,0.745244003308519,0.841191066997519,0.0959470636889992
