x_var,y_var,x_index,y_index,x_label,y_label,n,auc_cir,auc_joint,delta_auc
eps_r,snr_db,5,1,"[8.40, 10.00]","[10.00, 16.00]",125,0.742380952380952,0.854761904761905,0.112380952380952
eps_r,snr_db,1,2,"[2.00, 3.60]","[16.00, 22.00]",124,0.730357142857143,0.79702380952381,0.0666666666666668
eps_r,snr_db,2,2,"[3.60, 5.20]","[16.00, 22.00]",115,0.768565941101152,0.828104993597951,0.059539052496799
eps_r,snr_db,3,2,"[5.20, 6.80]","[16.00, 22.00]",131,0.824774774774775,0.847747747747748,0.0229729729729731
eps_r,snr_db,4,2,"[6.80, 8.40]","[16.00, 22.00]",127,0.875686274509804,0.97843137254902,0.102745098039216
eps_r,snr_db,5,2,"[8.40, 10.00]","[16.00, 22.00]",103,0.881632653061225,1,0.118367346938775
eps_r,snr_db,1,3,"[2.00, 3.60]","[22.00, 28.00]",118,0.706232492997199,0.777310924369748,0.071078431372549
eps_r,snr_db,2,3,"[3.60, 5.20]","[22.00, 28.00]",115,0.738095238095238,0.799739073711677,0.0616438356164385
eps_r,snr_db,3,3,"[5.20, 6.80]","[22.00, 28.00]",121,0.832415059687787,0.880165289256198,0.0477502295684115
eps_r,snr_db,4,3,"[6.80, 8.40]","[22.00, 28.00]",125,0.804375804375804,0.607142857142857,-0.197232947232947
eps_r,snr_db,5,3,"[8.40, 10.00]","[22.00, 28.00]",121,0.982456140350877,0.709899749373434,-0.272556390977444
eps_r,snr_db,1,4,"[2.00, 3.60]","[28.00, 34.00]",117,0.766594516594517,0.804834054834055,0.0382395382395382
eps_r,snr_db,2,4,"[3.60, 5.20]","[28.00, 34.00]",141,0.7571299230421,0.830466274332277,0.0733363512901766
eps_r,snr_db,3,4,"[5.20, 6.80]","[28.00, 34.00]",109,0.799415204678362,0.901169590643275,0.101754385964912
eps_r,snr_db,4,4,"[6.80, 8.40]","[28.00, 34.00]",113,0.970588235294118,1,0.0294117647058824
eps_r,snr_db,5,4,"[8.40, 10.00]","[28.00, 34.00]",120,0.883883883883884,0.984984984984985,0.101101101101101
eps_r,snr_db,1,5,"[2.00, 3.60]","[34.00, 39.99]",125,0.776769509981851,0.830006049606775,0.0532365396249244
eps_r,snr_db,2,5,"[3.60, 5.20]","[34.00, 39.99]",118,0.761904761904762,0.868421052631579,0.106516290726817
eps_r,snr_db,3,5,"[5.20, 6.80]","[34.00, 39.99]",123,0.854368932038835,0.907281553398058,0.0529126213592234
eps_r,snr_db,4,5,"[6.80, 8.40]","[34.00, 39.99]",103,0.925361155698234,0.887239165329053,-0.0381219903691815
eps_r,snr_db,5,5,"[8.40, 10.00]","[34.00, 39.99]",131,0.977717391304348,1,0.0222826086956522
xpol_coupling_db,snr_db,1,1,"[20.01, 24.00]","[10.00, 16.00]",128,0.778125,0.822727272727273,0.0446022727272728
xpol_coupling_db,snr_db,2,1,"[24.00, 28.00]","[10.00, 16.00]",93,0.773529411764706,0.814705882352941,0.0411764705882353
xpol_coupling_db,snr_db,3,1,"[28.00, 32.00]","[10.00, 16.00]",140,0.765614035087719,0.84140350877193,0.0757894736842104
xpol_coupling_db,snr_db,4,1,"[32.00, 36.00]","[10.00, 16.00]",118,0.799406748238784,0.827956989247312,0.0285502410085281
xpol_coupling_db,snr_db,5,1,"[36.00, 40.00]","[10.00, 16.00]",121,0.71042471042471,0.779279279279279,0.068854568854569
