scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage,raw_total_snr_threshold_db,lp_raw_total_snr_mean_db,cp_raw_total_snr_mean_db,delta_raw_total_snr_mean_db,lp_raw_total_snr_p05_db,cp_raw_total_snr_p05_db,coverage_lp_raw_total_snr,coverage_cp_raw_total_snr,delta_coverage_raw_total_snr,best_port_threshold_db,lp_best_port_snr_mean_db,cp_best_port_snr_mean_db,delta_best_port_snr_mean_db,lp_best_port_outage,cp_best_port_outage,delta_best_port_outage,lp_fixed_single_rate_raw_mean,cp_fixed_single_rate_raw_mean,delta_fixed_single_rate_raw_mean,lp_fixed_single_rate_raw_p05,cp_fixed_single_rate_raw_p05,lp_fixed_egc_rate_raw_mean,cp_fixed_egc_rate_raw_mean,delta_fixed_egc_rate_raw_mean,lp_fixed_egc_rate_raw_p05,cp_fixed_egc_rate_raw_p05,lp_port_power_imbalance_raw_db_mean,cp_port_power_imbalance_raw_db_mean
factory_lite,False,P0,20.0,2038,5.692006985167461e-06,5.6920069850627754e-06,-1.0468543354201366e-16,5.692006985167461e-08,0.34739941118743867,1.0,2.360341834437519e-08,2.360341833311562e-08,-1.1259572571904462e-17,-5.777251320702526e-16,2.360341834437519e-08,0.050049067713444556,0.050049067713444556,0.0,-30.0,-20.51114041983477,-14.49054050662445,6.020599913210326,-38.966628033627515,-32.946028120385385,0.8415112855740923,0.9244357212953876,0.08292443572129538,-30.0,-22.638871067814815,-16.592014780312198,6.046856287502621,0.20804710500490678,0.09764474975466143,-0.11040235525024535,0.016935099068051702,0.09890444533132015,0.08196934626326845,5.7146344820369704e-05,0.0003676552449534959,0.01987030569479725,0.10075894208202114,0.08088863638722389,6.96254624981224e-05,0.0002193119966152302,-0.8234085932827521,1.003819273267218
factory_lite,False,P1,0.0,6400,1.1835778015695362e-07,1.1835778015718703e-07,2.334198167270435e-19,1.1835778015695362e-09,0.52453125,1.0,3.190151366045737e-10,3.190151345429626e-10,-2.0616110885897737e-18,-4.1232213913579654e-17,2.3603416957147213e-10,0.03796875,0.03796875,0.0,-30.0,-40.36254187890405,-34.34194196562385,6.020599913280196,-57.78249625442386,-51.761896341198536,0.1046875,0.36109375,0.25640625,-30.0,-42.63695297530016,-36.563809609611816,6.073143365688345,0.94296875,0.7284375,-0.21453125000000006,0.0004604540551942,0.002544971712156144,0.0020845176569619438,7.354727965357733e-07,3.830065010658265e-06,0.00048583340725182403,0.0015399062357223379,0.0010540728284705136,8.937130188445407e-07,3.2135128477403487e-06,-0.052637223910459795,-0.03116714660820484
factory_lite,False,P1,10.0,6400,1.1835745820904228e-06,1.1835745820922193e-06,1.7966104460066526e-18,1.1835745820904228e-08,0.550625,1.0,3.1901513628922044e-09,3.1901513638437173e-09,9.515128896549544e-19,-6.660560200928445e-17,2.3603418390695133e-09,0.03796875,0.03796875,0.0,-30.0,-30.36254187890405,-24.34194196562385,6.020599913280196,-47.78249625442386,-41.761896341198536,0.53671875,0.725625,0.18890624999999994,-30.0,-32.636952975300154,-26.563809609611816,6.073143365688345,0.5525,0.3265625,-0.2259375,0.004485341163850224,0.022416321000890704,0.017930979837040485,7.3547042272065755e-06,3.830016827849047e-05,0.00472478648527332,0.014601243482303622,0.009876456997030304,8.937086247596202e-06,3.2134692134038634e-05,-0.052637223910459795,-0.03116714660820484
factory_lite,False,P1,20.0,6400,1.183542390654311e-05,1.1835423906562067e-05,1.895746470340145e-17,1.1835423906543111e-07,0.56359375,1.0,3.190151332054652e-08,3.190151332165661e-08,1.110089616935964e-18,-5.012868883825984e-16,2.360341834437519e-08,0.03796875,0.03796875,0.0,-30.0,-20.362541878904047,-14.341941965623851,6.020599913280196,-37.78249625442387,-31.761896341198536,0.8259375,0.9278125,0.10187500000000005,-30.0,-22.636952975300154,-16.563809609611816,6.073143365688344,0.2284375,0.104375,-0.12406249999999999,0.03832869341570829,0.1457286532121956,0.10739995979648732,7.354466859162279e-05,0.0003829535092239774,0.04011318868962834,0.11323001558906548,0.07311682689943712,8.936646876075758e-05,0.000321303296731373,-0.052637223910459795,-0.03116714660820484
factory_lite,False,P2,0.0,6400,1.246393514629598e-07,1.2463935146297716e-07,1.734555940790091e-20,1.246393514629598e-09,0.51515625,1.0,2.3015594537200635e-10,2.3015593252658327e-10,-1.2845423079763696e-17,-3.806057845192473e-17,2.3603416957147213e-10,0.050625,0.050625,0.0,-30.0,-40.6931236533021,-34.6725237400443,6.020599913257809,-59.17565385636566,-53.155053943021116,0.14515625,0.35984375,0.21468750000000003,-30.0,-42.942266242944804,-36.87938247680888,6.062883766135932,0.90953125,0.723125,-0.18640625,0.0004629780608310438,0.002214862089642409,0.0017518840288113652,5.042734556920389e-07,2.5111388478649765e-06,0.000498088414129622,0.0017238717418659858,0.001225783327736364,6.030039185951791e-07,2.4226784408307172e-06,-0.04879207315199123,-0.25130445236833926
factory_lite,False,P2,10.0,6400,1.2463907968202499e-06,1.2463907968205967e-06,3.4696680315829297e-19,1.24639079682025e-08,0.50578125,1.0,2.301559364664728e-09,2.301559331361779e-09,-3.3302949069971874e-17,-7.61209984160441e-17,2.3603418390695133e-09,0.050625,0.050625,0.0,-30.0,-30.693123653302106,-24.672523740044294,6.020599913257809,-49.17565385636566,-43.155053943021116,0.50484375,0.71484375,0.20999999999999996,-30.0,-32.94226624294481,-26.87938247680888,6.062883766135932,0.58296875,0.36125,-0.22171875000000002,0.004546413743912758,0.020199379992901605,0.015652966248988848,5.042725980989539e-06,2.5111010608278193e-05,0.004880184936353508,0.01642911840464594,0.011548933468292435,6.0300203419840844e-06,2.422651407913016e-05,-0.04879207315199123,-0.25130445236833926
factory_lite,False,P2,20.0,6400,1.2463636210631646e-05,1.2463636210643745e-05,1.2100836237922716e-17,1.2463636210631647e-07,0.50875,1.0,2.3015593341996628e-08,2.3015593348181458e-08,6.184829440058988e-18,-5.930865404368303e-16,2.360341834437519e-08,0.050625,0.050625,0.0,-30.0,-20.693123653302106,-14.672523740044296,6.020599913257809,-39.17565385636566,-33.155053943021116,0.8128125,0.91015625,0.09734374999999995,-30.0,-22.94226624294481,-16.87938247680888,6.062883766135932,0.23375,0.11890625,-0.11484375000000001,0.04008863082944432,0.14208935306903026,0.10200072223958592,5.042640224621515e-05,0.0002510723291815922,0.04268327353123654,0.12702731941056022,0.0843440458793237,6.029831911355666e-05,0.0002422381133179622,-0.04879207315199123,-0.25130445236833926
l_corridor_proxy,True,P1,0.0,64,3.12032952230757e-08,3.1203295221836754e-08,-1.238949337873729e-18,3.12032952230757e-10,0.484375,1.0,1.5047058106495243e-08,1.5047058107288172e-08,7.929287177484319e-19,-4.075646379668386e-17,0.0,0.0,0.0,0.0,-30.0,-38.29118651844372,-32.270586605075046,6.020599913368684,-41.078995219867394,-35.058395306291565,0.0,0.09375,0.09375,-30.0,-40.64414381139014,-34.51103509697958,6.133108714410561,1.0,1.0,0.0,0.00011854885942809835,0.0005361096464399839,0.0004175607870118856,3.6247776132591715e-05,0.00016986174161406854,0.00015126301309157595,0.0005708815040451586,0.00041961849095358255,3.706032063772222e-05,0.00021819904844193298,-0.510635444101589,-0.9276767733842539
l_corridor_proxy,True,P1,10.0,64,3.12032912889529e-07,3.1203291289165993e-07,2.1309868299621727e-18,3.12032912889529e-09,0.578125,1.0,1.5047057510745438e-07,1.504705750820807e-07,-2.537369249817022e-17,-5.074737308493962e-17,0.0,0.0,0.0,0.0,-30.0,-28.29118651844373,-22.270586605075042,6.020599913368683,-31.07899521986739,-25.058395306291562,0.84375,1.0,0.15625,-30.0,-30.644143811390144,-24.511035096979583,6.13310871441056,0.609375,0.0,-0.609375,0.0011845093802214806,0.00534282050465012,0.00415831112442864,0.00036238370440380447,0.001697281092657827,0.0015107564963127843,0.005690020020617961,0.004179263524305176,0.0003705408751114255,0.0021795314656611027,-0.510635444101589,-0.9276767733842539
l_corridor_proxy,True,P1,20.0,64,3.120325192187235e-06,3.1203251922809485e-06,9.371372019841096e-17,3.120325192187235e-08,0.609375,1.0,1.5047051382658593e-06,1.5047051382346175e-06,-3.12417514682908e-17,-1.752363995894562e-16,0.0,0.0,0.0,0.0,-30.0,-18.291186518443727,-12.270586605075044,6.020599913368683,-21.07899521986739,-15.058395306291562,1.0,1.0,0.0,-30.0,-20.644143811390144,-14.511035096979585,6.13310871441056,0.0,0.0,0.0,0.011748936840486949,0.051726445406219075,0.03997750856573212,0.0036144830221748517,0.01684107688980604,0.014926304791637816,0.05514410710567442,0.0402178023140366,0.003699195408775076,0.021554724863128833,-0.510635444101589,-0.9276767733842539
