stage,cv_scheme,feature_set,feature_family,n_features,model,n,n_pos,AUC,PR_AUC,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_at_0p5,features
stage2,room_label_stratified5,CP_ratio_fp6_only,cp_only,6,svm_rbf,900,437,0.6436482793047037,0.6464823202352799,0.5988888888888889,0.5967226969668513,0.5581395348837209,xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
stage2,room_label_stratified5,CIR12_only,cir_only,12,logistic_l1,900,437,0.6430749613257485,0.613921513593904,0.5988888888888889,0.5992927430794095,0.5975473801560758,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate
stage2,room_label_stratified5,CP_ratio_fp6_only,cp_only,6,random_forest,900,437,0.6400848115217144,0.6651806212397184,0.5911111111111111,0.5898700643994247,0.5650118203309693,xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
stage2,room_label_stratified5,CIR12_only,cir_only,12,extra_trees,900,437,0.6328985671992922,0.5773713744313866,0.59,0.5914244480578854,0.6027987082884823,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate
stage2,room_label_stratified5,CP_ratio_fp6_only,cp_only,6,gradient_boosting,900,437,0.6319941086635266,0.6530052912965021,0.5777777777777777,0.5756260780602083,0.5354523227383863,xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
stage2,room_label_stratified5,CIR12_only,cir_only,12,knn_15_distance,900,437,0.6224651684615803,0.5843497113958365,0.5722222222222222,0.5711260261650464,0.5475910693301997,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate
stage2,room_label_stratified5,CP_phase_delay4_only,cp_only,4,logistic_l2,900,437,0.611586954050541,0.6485908796140756,0.5855555555555556,0.5822217060163791,0.5224071702944942,delta_tau_l_given_r_s;cp_phase_slope_delay_s;cp_phase_residual_circvar;delta_p_l_given_r_db
stage2,room_label_stratified5,CP_phase_delay4_only,cp_only,4,logistic_l1,900,437,0.6103612397507054,0.6487123475141457,0.5788888888888889,0.5759992289861662,0.5232704402515723,delta_tau_l_given_r_s;cp_phase_slope_delay_s;cp_phase_residual_circvar;delta_p_l_given_r_db
stage2,room_label_stratified5,CP_ratio_fp6_only,cp_only,6,hist_gradient_boosting,900,437,0.606778002382235,0.6442806807174628,0.5633333333333334,0.5621012103928711,0.5360094451003542,xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
stage2,room_label_stratified5,CP_ratio_fp6_only,cp_only,6,logistic_l2,900,437,0.5868552026135392,0.6280969719898792,0.5544444444444444,0.5480005535483935,0.4145985401459854,xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
stage2,room_label_stratified5,CP_ratio_fp6_only,cp_only,6,logistic_l1,900,437,0.5808007670599167,0.6242273047924387,0.5588888888888889,0.5517419476007137,0.40120663650075417,xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
