scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage
straight_corridor,False,P0,10.0,768,2.7192804879657947e-07,2.7192804880198545e-07,5.405942828375215e-18,2.7192804879657946e-09,0.5690104166666666,1.0,3.5891946913177986e-08,3.5891946902077004e-08,-1.1100982196143345e-17,-4.123221821491884e-17,3.5891946913177986e-08,0.05078125,0.05078125,0.0
straight_corridor,False,P0,20.0,768,2.719275705919694e-06,2.719275705978717e-06,5.90232391369934e-17,2.719275705919694e-08,0.6419270833333334,1.0,3.589194338685197e-07,3.589194338837439e-07,1.522419961703437e-17,-1.3004002383712314e-16,3.589194338685197e-07,0.05078125,0.05078125,0.0
straight_corridor,False,P1,0.0,5120,2.9576898118905755e-08,2.9576898119968156e-08,1.0623986367984438e-18,2.9576898118905756e-10,0.536328125,1.0,3.259106822556158e-09,3.2591068011471197e-09,-2.1409038156080097e-17,-3.48888040239269e-17,3.5891947168402693e-09,0.0625,0.0625,0.0
straight_corridor,False,P1,10.0,5120,2.957688908309735e-07,2.9576889083939346e-07,8.419889502578024e-18,2.9576889083097353e-09,0.5853515625,1.0,3.259106762881471e-08,3.259106767432875e-08,4.5514038253844047e-17,-4.440385069872356e-17,3.5891946913177986e-08,0.0625,0.0625,0.0
straight_corridor,False,P1,20.0,5120,2.957679870130986e-06,2.9576798702132716e-06,8.228501042393176e-17,2.957679870130986e-08,0.6416015625,1.0,3.259106442867896e-07,3.2591064428996123e-07,3.171608991875321e-18,-1.2052266635056724e-16,3.589194338685197e-07,0.0625,0.0625,0.0
straight_corridor,False,P2,0.0,5120,6.407858336946636e-08,6.407858336984301e-08,3.766406374327749e-19,6.407858336946636e-10,0.5169921875,1.0,3.823527883539424e-09,3.823527881477813e-09,-2.0616111919873502e-18,-4.1232213913579654e-17,3.5891947168402693e-09,0.0423828125,0.0423828125,0.0
straight_corridor,False,P2,10.0,5120,6.407852051709483e-07,6.407852051750263e-07,4.077995468434978e-18,6.407852051709483e-09,0.54296875,1.0,3.8235278286220705e-08,3.823527831127721e-08,2.5056505129203085e-17,-5.391899398821576e-17,3.5891946913177986e-08,0.0423828125,0.0423828125,0.0
straight_corridor,False,P2,20.0,5120,6.407789200624635e-06,6.407789200669495e-06,4.486128135774553e-17,6.407789200624634e-08,0.55625,1.0,3.8235273670782055e-07,3.823527367584093e-07,5.058877807696707e-17,-2.8861986991991427e-16,3.589194338685197e-07,0.0423828125,0.0423828125,0.0
factory_lite,False,P0,0.0,2038,5.822235563303217e-08,5.822235562944494e-08,-3.5872377594477296e-18,5.822235563303217e-10,0.478900883218842,1.0,2.3439014809871926e-10,2.3439013350885597e-10,-1.4589863291299798e-17,-5.391904692777496e-17,2.3439014809871926e-10,0.050049067713444556,0.050049067713444556,0.0
factory_lite,False,P0,10.0,2038,5.822233429370718e-07,5.822233429274276e-07,-9.64428987001126e-18,5.822233429370718e-09,0.41952894995093226,1.0,2.3439014316942984e-09,2.343901440099329e-09,8.405030594217149e-18,-7.29492382155528e-17,2.3439014316942984e-09,0.050049067713444556,0.050049067713444556,0.0
factory_lite,False,P0,20.0,2038,5.822212095861082e-06,5.822212095763158e-06,-9.7923202092423e-17,5.822212095861082e-08,0.3645731108930324,1.0,2.343901425654471e-08,2.3439014261936618e-08,5.3919073397554564e-18,-5.645612659820315e-16,2.343901425654471e-08,0.050049067713444556,0.050049067713444556,0.0
